Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCG54,OUT035,3008.0
FDM44,OUT046,1648.0
FDT57,OUT018,3744.0
FDV24,OUT046,2400.0
FDI50,OUT019,2048.0
FDS09,OUT035,832.0
NCC31,OUT027,4288.0
FDQ07,OUT019,1728.0
FDC22,OUT017,3328.0
FDZ56,OUT046,2848.0
FDZ40,OUT019,-1280.0
FDS46,OUT027,3776.0
DRD24,OUT045,2240.0
FDV45,OUT017,3392.0
FDL26,OUT045,2592.0
FDA56,OUT018,1632.0
FDN27,OUT046,2112.0
FDM20,OUT049,4288.0
FDO16,OUT017,1488.0
FDL03,OUT035,3712.0
FDE58,OUT046,2048.0
FDI02,OUT027,3776.0
NCC55,OUT019,-1248.0
FDR03,OUT018,3392.0
FDB14,OUT017,1667.0
FDR45,OUT013,4224.0
NCN07,OUT017,2304.0
FDM51,OUT019,-128.0
FDT52,OUT027,5984.0
FDL26,OUT046,2560.0
NCZ42,OUT046,4128.0
DRI47,OUT019,512.0
FDW40,OUT013,2368.0
FDN34,OUT046,3008.0
FDS01,OUT035,3264.0
NCG55,OUT045,1920.0
FDC11,OUT035,1504.0
FDX35,OUT018,3488.0
NCB06,OUT046,2624.0
FDR09,OUT019,2432.0
FDC53,OUT017,1712.0
FDY45,OUT013,4544.0
FDA22,OUT010,768.0
FDE02,OUT035,1536.0
FDW21,OUT045,1664.0
FDV34,OUT046,1264.0
FDS59,OUT049,1824.0
NCW17,OUT017,2304.0
NCK54,OUT046,2048.0
FDG17,OUT019,2304.0
FDG35,OUT017,3232.0
FDD08,OUT010,-1536.0
NCO07,OUT017,3776.0
FDJ10,OUT010,192.0
FDW36,OUT017,1776.0
FDW21,OUT010,-384.0
FDY19,OUT017,2176.0
DRE03,OUT013,880.0
NCC55,OUT049,640.0
FDH52,OUT010,-928.0
FDO09,OUT017,4704.0
FDU43,OUT045,4192.0
FDX09,OUT010,804.0
FDH40,OUT019,-768.0
FDW58,OUT017,1984.0
FDC47,OUT017,3904.0
NCR41,OUT035,1792.0
DRG49,OUT035,4320.0
FDC52,OUT027,4416.0
FDY13,OUT046,1232.0
FDY35,OUT013,832.0
FDI35,OUT017,3264.0
NCU18,OUT049,2368.0
FDY33,OUT018,2232.0
FDC15,OUT027,4256.0
FDU01,OUT049,3360.0
NCU42,OUT046,2848.0
NCV29,OUT018,2656.0
NCY30,OUT017,3328.0
FDQ46,OUT049,1792.0
FDG58,OUT027,4416.0
FDK33,OUT017,3872.0
NCD07,OUT045,1888.0
NCX29,OUT027,4032.0
NCT42,OUT013,2464.0
DRN59,OUT035,912.0
FDI44,OUT035,1408.0
FDA45,OUT049,3008.0
FDP31,OUT045,928.0
FDY01,OUT046,1728.0
FDT09,OUT018,2048.0
DRH03,OUT027,3520.0
FDA36,OUT018,2816.0
NCF31,OUT017,2688.0
FDG14,OUT049,2590.0
FDG28,OUT027,6016.0
FDU14,OUT049,4416.0
FDY47,OUT019,192.0
FDI56,OUT049,1344.0
DRD01,OUT013,1040.0
FDM22,OUT046,850.0
FDH33,OUT013,512.0
DRZ24,OUT013,2048.0
NCQ38,OUT046,1728.0
FDO16,OUT027,3136.0
FDU07,OUT027,4288.0
NCB07,OUT013,3328.0
FDU48,OUT045,2048.0
NCM43,OUT045,2752.0
FDR31,OUT010,416.0
DRK49,OUT018,224.0
NCI30,OUT010,2240.0
DRD60,OUT017,3264.0
NCG19,OUT046,3904.0
FDH12,OUT035,1760.0
FDM32,OUT035,1858.0
FDM27,OUT035,2592.0
NCU53,OUT027,4480.0
NCQ18,OUT046,1504.0
FDS10,OUT013,3136.0
FDB33,OUT027,4416.0
FDI12,OUT013,1376.0
NCW42,OUT013,3840.0
NCC06,OUT018,1856.0
FDW02,OUT017,2275.0
NCD43,OUT017,1824.0
FDM57,OUT018,928.0
FDA58,OUT017,4192.0
FDK56,OUT046,3008.0
FDP52,OUT045,4032.0
FDW20,OUT018,1804.0
FDS52,OUT049,1728.0
NCT29,OUT018,1568.0
NCL54,OUT013,3040.0
FDC05,OUT045,3200.0
FDF34,OUT035,3584.0
FDP03,OUT027,3904.0
FDD32,OUT010,-512.0
FDZ10,OUT045,2048.0
FDZ40,OUT035,1024.0
FDD51,OUT018,160.0
NCY30,OUT019,1152.0
FDP58,OUT017,3776.0
FDV49,OUT017,4736.0
FDY24,OUT019,-1408.0
NCO55,OUT017,1792.0
FDR13,OUT017,2080.0
FDS51,OUT017,1168.0
FDP26,OUT045,1536.0
NCB54,OUT027,3808.0
FDF32,OUT017,3552.0
FDN31,OUT018,2752.0
DRM48,OUT017,544.0
FDN20,OUT049,2944.0
DRL01,OUT046,4160.0
FDV56,OUT049,1888.0
DRH13,OUT027,3648.0
FDA03,OUT017,2752.0
FDF47,OUT027,5600.0
FDX32,OUT046,2400.0
FDX57,OUT049,1728.0
NCA30,OUT045,3136.0
FDO49,OUT013,960.0
FDL04,OUT019,-416.0
DRM48,OUT035,576.0
FDR16,OUT013,3648.0
NCC19,OUT018,2816.0
NCE42,OUT045,4128.0
FDY24,OUT017,864.0
FDH19,OUT049,3040.0
FDJ46,OUT013,3008.0
FDN45,OUT010,1760.0
FDY08,OUT035,2304.0
FDZ37,OUT035,1634.0
NCT30,OUT045,512.0
DRY23,OUT018,160.0
NCZ30,OUT018,1648.0
FDC44,OUT018,1344.0
FDB45,OUT035,1954.0
FDY04,OUT013,2880.0
FDM27,OUT046,2512.0
FDZ43,OUT017,4352.0
FDT39,OUT019,598.0
NCC06,OUT019,160.0
FDL15,OUT027,4320.0
FDL57,OUT017,4640.0
FDU08,OUT046,1616.0
FDK40,OUT017,4800.0
FDQ12,OUT010,1952.0
FDS48,OUT017,2752.0
FDP09,OUT045,3648.0
FDW21,OUT049,1792.0
FDY25,OUT035,3328.0
DRE13,OUT017,1472.0
FDV43,OUT019,-1504.0
FDD22,OUT045,1664.0
FDM46,OUT019,-832.0
NCO30,OUT010,1280.0
FDM25,OUT046,2912.0
NCN41,OUT049,2048.0
FDU24,OUT045,1376.0
FDZ50,OUT046,3072.0
FDP45,OUT013,4480.0
NCM54,OUT045,2048.0
FDW10,OUT019,1024.0
FDP20,OUT017,2368.0
FDK32,OUT046,2688.0
FDN52,OUT049,1312.0
FDM58,OUT045,1824.0
FDZ46,OUT027,3648.0
NCA18,OUT018,1506.0
FDD35,OUT046,2016.0
NCK31,OUT035,944.0
FDI40,OUT027,3296.0
FDT50,OUT019,-544.0
NCT06,OUT046,2784.0
FDT31,OUT035,3456.0
FDT45,OUT049,800.0
FDT13,OUT045,3200.0
FDO50,OUT045,1408.0
NCU18,OUT010,320.0
NCR54,OUT049,3328.0
NCO18,OUT018,2656.0
FDU09,OUT045,768.0
FDT13,OUT018,3008.0
FDE09,OUT046,1840.0
NCK53,OUT019,-256.0
FDG45,OUT049,3616.0
DRH15,OUT035,704.0
FDO21,OUT019,2048.0
FDD14,OUT027,4800.0
FDC09,OUT046,1712.0
FDH45,OUT027,2400.0
FDV32,OUT046,832.0
FDG12,OUT035,2402.0
FDS32,OUT013,2464.0
NCL55,OUT018,4000.0
DRE01,OUT035,4096.0
DRE15,OUT049,1376.0
NCL42,OUT045,4288.0
FDP31,OUT013,960.0
FDN33,OUT018,1056.0
FDZ59,OUT046,2608.0
FDE45,OUT010,1056.0
FDJ07,OUT013,2048.0
FDQ45,OUT018,3008.0
FDM33,OUT027,5472.0
FDO15,OUT010,-640.0
FDM46,OUT013,1312.0
FDR03,OUT045,3648.0
FDY49,OUT018,2624.0
FDQ60,OUT045,1792.0
FDW10,OUT049,3072.0
FDO51,OUT049,640.0
FDJ40,OUT018,1472.0
FDS20,OUT018,2684.0
FDU45,OUT013,1984.0
FDV02,OUT035,3130.0
FDN09,OUT046,4160.0
NCM55,OUT027,4864.0
FDN23,OUT018,1984.0
FDY31,OUT010,384.0
FDW03,OUT010,-192.0
FDD14,OUT046,2944.0
FDV23,OUT017,2144.0
DRI03,OUT045,2976.0
FDN13,OUT035,1632.0
FDF45,OUT027,2880.0
FDU46,OUT035,1600.0
FDB57,OUT049,3968.0
FDV12,OUT049,1760.0
FDQ58,OUT013,2656.0
NCA18,OUT017,1984.0
FDH52,OUT049,960.0
FDM24,OUT018,2080.0
NCP43,OUT027,4832.0
NCO18,OUT019,1024.0
FDM32,OUT017,1792.0
NCL07,OUT017,768.0
FDK03,OUT013,4448.0
FDP59,OUT017,1856.0
FDQ24,OUT049,4352.0
FDQ16,OUT018,1408.0
FDU44,OUT013,2784.0
FDH28,OUT010,-1568.0
FDV28,OUT019,-1696.0
FDM22,OUT045,768.0
FDR56,OUT046,3296.0
FDV39,OUT049,3456.0
FDU37,OUT019,-832.0
FDQ11,OUT010,2116.0
FDX02,OUT045,3840.0
NCS42,OUT018,1104.0
FDY57,OUT027,3489.0
FDB21,OUT049,4064.0
FDE28,OUT017,4064.0
FDQ55,OUT017,2176.0
FDA48,OUT049,3776.0
FDZ19,OUT045,2656.0
NCC43,OUT045,4224.0
NCV18,OUT046,1216.0
NCA42,OUT018,2368.0
FDY45,OUT046,4480.0
NCC30,OUT045,3040.0
FDM57,OUT013,1472.0
FDL09,OUT010,672.0
FDB09,OUT027,3904.0
FDT44,OUT035,2034.0
NCT06,OUT027,4512.0
FDX26,OUT049,3104.0
FDK32,OUT013,2688.0
DRA12,OUT046,2400.0
FDO46,OUT010,1344.0
FDE52,OUT013,1600.0
NCH42,OUT045,3872.0
FDV08,OUT035,826.0
FDB47,OUT018,3140.0
FDC28,OUT010,-96.0
FDD22,OUT046,1734.0
FDS07,OUT027,3776.0
DRI13,OUT045,3776.0
FDG32,OUT018,3256.0
FDU14,OUT017,4544.0
FDD28,OUT019,-896.0
NCP41,OUT017,1952.0
FDS08,OUT049,2874.0
FDX47,OUT045,2496.0
FDC53,OUT019,-288.0
FDQ19,OUT035,4416.0
FDL14,OUT045,2432.0
FDM33,OUT019,1760.0
FDA51,OUT045,1696.0
FDZ27,OUT018,352.0
FDT04,OUT046,562.0
DRC13,OUT049,2176.0
FDR16,OUT027,5440.0
FDQ03,OUT027,5856.0
FDE38,OUT035,2912.0
DRH23,OUT027,2400.0
FDT11,OUT019,1230.0
FDD09,OUT035,3328.0
FDR40,OUT045,1312.0
FDX07,OUT017,3456.0
FDR07,OUT035,1664.0
FDA51,OUT017,1888.0
FDT59,OUT019,2048.0
FDF20,OUT017,3488.0
FDR13,OUT045,1824.0
FDY26,OUT049,3744.0
FDW04,OUT017,2432.0
FDK52,OUT017,4096.0
FDN60,OUT049,2586.0
FDM09,OUT019,768.0
FDP46,OUT049,1536.0
FDB50,OUT019,-1024.0
NCQ29,OUT049,4416.0
FDP16,OUT027,6016.0
FDX33,OUT018,2208.0
FDP07,OUT010,1056.0
FDN22,OUT046,4352.0
FDF39,OUT049,4672.0
FDS21,OUT017,1280.0
NCM42,OUT013,1776.0
FDK50,OUT019,832.0
DRF13,OUT027,4288.0
FDH35,OUT018,2432.0
FDP60,OUT018,1408.0
DRJ49,OUT027,4032.0
NCT42,OUT019,512.0
FDE38,OUT049,2816.0
FDI04,OUT049,3422.0
NCH54,OUT045,2560.0
FDT56,OUT049,832.0
DRD15,OUT018,3616.0
FDV58,OUT013,3328.0
FDP21,OUT049,3230.0
FDH05,OUT013,4064.0
FDR10,OUT027,4512.0
NCP06,OUT045,2496.0
FDF33,OUT049,1792.0
DRK37,OUT013,3264.0
DRH49,OUT045,1408.0
FDT58,OUT013,2784.0
FDD41,OUT018,1280.0
FDP40,OUT018,1440.0
FDM51,OUT027,3520.0
FDO45,OUT010,-448.0
FDW33,OUT010,-416.0
FDY24,OUT045,640.0
FDB10,OUT010,2080.0
FDM40,OUT035,2304.0
NCI06,OUT017,3168.0
FDW12,OUT019,480.0
FDX48,OUT027,4416.0
NCW05,OUT027,3392.0
FDX27,OUT017,1696.0
DRM37,OUT045,3296.0
FDA38,OUT045,4096.0
FDR36,OUT046,384.0
FDZ45,OUT046,3328.0
FDG05,OUT017,2880.0
FDK28,OUT013,4448.0
FDV47,OUT045,1344.0
FDN21,OUT045,2688.0
FDP20,OUT027,3904.0
FDI35,OUT045,3072.0
DRY23,OUT013,576.0
FDA56,OUT017,2176.0
FDB09,OUT013,2048.0
NCO26,OUT027,3552.0
FDQ49,OUT018,2432.0
FDI52,OUT027,3904.0
FDZ44,OUT027,3648.0
FDZ09,OUT018,2268.0
FDY03,OUT049,1888.0
NCG42,OUT017,2336.0
DRI13,OUT027,5568.0
FDQ32,OUT013,2176.0
FDW16,OUT035,1664.0
FDU27,OUT046,544.0
FDR28,OUT010,832.0
FDQ49,OUT010,800.0
FDS37,OUT046,1872.0
FDW26,OUT018,3260.0
FDX12,OUT018,3968.0
NCP06,OUT013,2592.0
FDW45,OUT010,512.0
NCN30,OUT049,1600.0
FDN24,OUT049,704.0
NCL41,OUT027,2112.0
FDR02,OUT019,-150.0
FDD09,OUT010,1152.0
FDS33,OUT010,-768.0
FDU22,OUT045,1856.0
FDI53,OUT013,2720.0
DRH01,OUT049,2976.0
FDX32,OUT013,2432.0
NCP30,OUT018,336.0
FDB60,OUT045,3296.0
FDB14,OUT049,1632.0
NCP02,OUT035,1056.0
FDJ10,OUT017,2352.0
FDG34,OUT046,1840.0
NCB18,OUT017,1536.0
FDM16,OUT049,1280.0
FDW25,OUT018,896.0
FDB35,OUT010,-544.0
DRN11,OUT013,2272.0
FDF41,OUT019,2026.0
FDH16,OUT045,1280.0
NCQ50,OUT018,3360.0
DRH23,OUT018,352.0
DRJ37,OUT013,2624.0
DRJ24,OUT027,4928.0
FDY16,OUT035,3456.0
FDQ27,OUT045,1664.0
FDZ33,OUT045,2240.0
FDF29,OUT045,2240.0
FDA08,OUT049,2878.0
FDG31,OUT046,1014.0
FDE34,OUT019,832.0
NCR30,OUT027,2880.0
FDV33,OUT035,4672.0
DRZ24,OUT018,1552.0
NCL54,OUT035,3136.0
FDR12,OUT049,3006.0
NCC54,OUT046,4064.0
DRN59,OUT013,848.0
FDX50,OUT019,-256.0
FDV31,OUT027,4800.0
NCA29,OUT027,4640.0
FDW60,OUT049,3126.0
FDX08,OUT017,3264.0
DRD49,OUT013,4032.0
FDD33,OUT046,3904.0
FDW35,OUT013,768.0
FDJ36,OUT017,1776.0
FDV51,OUT035,3072.0
FDW36,OUT046,1712.0
FDH35,OUT046,2752.0
NCS30,OUT027,3776.0
FDN49,OUT017,608.0
FDL08,OUT018,3968.0
FDI09,OUT013,4224.0
FDP19,OUT018,1664.0
FDU21,OUT010,-1632.0
NCP41,OUT045,1728.0
FDY10,OUT013,1920.0
FDP12,OUT018,128.0
NCN26,OUT049,1968.0
FDK44,OUT013,2944.0
FDC28,OUT049,1888.0
FDJ41,OUT027,6272.0
NCT29,OUT035,2176.0
NCH42,OUT019,1888.0
FDU60,OUT018,2572.0
FDS02,OUT045,3136.0
FDC51,OUT046,2064.0
FDU03,OUT013,3200.0
FDX39,OUT045,3648.0
NCY05,OUT010,-1536.0
NCL06,OUT027,6176.0
FDD32,OUT035,1504.0
NCN41,OUT045,1952.0
NCX53,OUT049,2464.0
FDU57,OUT019,416.0
FDQ23,OUT046,1680.0
FDQ52,OUT045,4096.0
FDC14,OUT045,544.0
FDY09,OUT035,3264.0
FDQ28,OUT045,2496.0
FDV25,OUT046,3744.0
FDJ07,OUT035,2048.0
DRB25,OUT049,1760.0
FDK52,OUT019,1888.0
FDY52,OUT027,2880.0
FDB28,OUT046,3232.0
FDT36,OUT035,544.0
FDV25,OUT017,3936.0
NCN07,OUT027,3904.0
FDC57,OUT017,3520.0
FDQ03,OUT018,3840.0
FDU23,OUT017,3008.0
NCX41,OUT035,3872.0
NCD06,OUT035,848.0
FDW08,OUT045,1600.0
NCU29,OUT017,2528.0
NCE06,OUT013,2592.0
FDV52,OUT010,-96.0
FDB02,OUT017,3200.0
NCR18,OUT045,640.0
FDK16,OUT049,1440.0
NCQ29,OUT010,2368.0
FDZ01,OUT019,-192.0
FDW27,OUT035,2592.0
FDD17,OUT018,3712.0
FDW39,OUT013,3136.0
DRH59,OUT045,1056.0
FDS52,OUT013,1744.0
FDU40,OUT027,5120.0
NCF54,OUT013,2976.0
FDH46,OUT045,1632.0
NCP14,OUT049,1600.0
FDH50,OUT049,3102.0
DRF15,OUT010,704.0
FDV27,OUT027,3264.0
NCJ06,OUT049,2016.0
FDN02,OUT018,3132.0
FDQ51,OUT049,960.0
FDQ07,OUT017,4000.0
FDS45,OUT049,1728.0
NCJ06,OUT045,1984.0
FDD36,OUT035,2080.0
FDY25,OUT045,3136.0
FDU52,OUT046,2496.0
DRK47,OUT017,4032.0
NCL30,OUT017,2304.0
FDN22,OUT035,4608.0
NCF30,OUT027,3776.0
FDK03,OUT035,4608.0
FDT45,OUT017,971.0
NCC54,OUT027,5792.0
FDP08,OUT018,2904.0
FDU44,OUT046,2720.0
DRG39,OUT035,1008.0
FDU32,OUT049,2080.0
FDY27,OUT049,3072.0
NCP54,OUT013,2080.0
NCZ41,OUT049,2176.0
DRL49,OUT013,2432.0
FDI05,OUT018,736.0
FDY56,OUT045,3904.0
DRC13,OUT013,2240.0
NCV29,OUT017,3200.0
FDR24,OUT049,1568.0
FDZ34,OUT018,2848.0
FDP37,OUT035,2080.0
FDX08,OUT027,4832.0
FDS57,OUT045,2144.0
NCG18,OUT049,1744.0
FDK25,OUT018,2304.0
FDH53,OUT049,1600.0
DRI59,OUT018,3584.0
FDA52,OUT046,2912.0
FDT20,OUT010,-1504.0
FDE36,OUT019,768.0
FDI24,OUT017,3072.0
FDB28,OUT018,2816.0
FDV11,OUT017,3200.0
FDP01,OUT046,2656.0
FDD34,OUT027,4544.0
FDJ50,OUT027,2624.0
FDZ44,OUT013,1984.0
DRO59,OUT035,1344.0
DRB48,OUT045,656.0
FDR21,OUT018,2560.0
NCE42,OUT010,2208.0
FDO23,OUT046,1398.0
NCE30,OUT018,3264.0
FDQ22,OUT035,800.0
FDY01,OUT045,1760.0
FDS08,OUT017,3072.0
FDG28,OUT018,4032.0
FDQ51,OUT018,512.0
FDB05,OUT017,4384.0
FDO56,OUT049,1920.0
FDE02,OUT018,992.0
FDN45,OUT017,3936.0
FDS09,OUT013,704.0
NCA54,OUT018,2752.0
FDP09,OUT010,1696.0
FDC53,OUT045,1536.0
NCM55,OUT017,3296.0
FDL09,OUT018,2304.0
FDA11,OUT019,-544.0
FDA50,OUT045,1408.0
FDC23,OUT017,3264.0
FDE22,OUT049,2678.0
FDD23,OUT046,3168.0
NCA29,OUT049,2944.0
FDK38,OUT046,2352.0
DRC13,OUT046,2048.0
NCP43,OUT049,3104.0
FDX28,OUT049,1568.0
FDF08,OUT049,1600.0
FDZ33,OUT046,2352.0
FDD10,OUT049,3200.0
FDO58,OUT017,2944.0
FDI50,OUT017,4160.0
FDO58,OUT045,2816.0
FDX08,OUT013,3136.0
NCK17,OUT010,-1312.0
FDF39,OUT035,4800.0
FDU45,OUT010,-64.0
NCJ18,OUT018,1376.0
DRC27,OUT019,2240.0
DRC25,OUT035,1504.0
FDU59,OUT035,2656.0
FDU28,OUT035,3482.0
NCP30,OUT046,704.0
FDB39,OUT018,416.0
FDE41,OUT013,1548.0
DRH11,OUT010,-1280.0
FDA58,OUT045,4000.0
FDU50,OUT046,1904.0
FDM34,OUT013,2208.0
FDM44,OUT027,3520.0
FDR39,OUT045,3104.0
FDM25,OUT045,2944.0
FDQ49,OUT049,2752.0
DRH25,OUT018,512.0
FDM09,OUT027,4672.0
FDL44,OUT019,896.0
NCR42,OUT018,192.0
DRL59,OUT046,880.0
FDX43,OUT013,2816.0
DRK47,OUT010,1856.0
FDU48,OUT018,1792.0
FDY12,OUT045,576.0
NCN43,OUT018,1728.0
NCM55,OUT018,2752.0
FDQ21,OUT027,3904.0
FDX13,OUT035,4448.0
NCK30,OUT027,6080.0
FDG20,OUT049,2902.0
DRG27,OUT017,608.0
FDY14,OUT018,4160.0
FDP59,OUT035,1856.0
FDU60,OUT017,3136.0
NCC18,OUT019,672.0
DRJ39,OUT017,3968.0
FDS07,OUT049,1920.0
FDM08,OUT027,5600.0
FDP51,OUT045,1856.0
FDU16,OUT035,1594.0
FDH12,OUT013,1728.0
DRE48,OUT010,1440.0
NCL42,OUT027,5984.0
FDR21,OUT045,2976.0
NCW29,OUT035,2368.0
FDO11,OUT013,4416.0
NCM31,OUT049,2304.0
FDV35,OUT019,448.0
FDF58,OUT017,1171.0
NCE43,OUT049,2752.0
FDA02,OUT035,2594.0
DRL37,OUT010,-1280.0
FDR24,OUT018,1120.0
FDW59,OUT049,1472.0
FDS22,OUT049,768.0
FDW24,OUT017,800.0
FDU24,OUT035,1568.0
FDA21,OUT027,4960.0
FDH58,OUT027,3776.0
FDW36,OUT018,1280.0
FDI45,OUT027,4672.0
FDU01,OUT018,3072.0
FDF35,OUT027,3392.0
FDU43,OUT019,2304.0
FDE24,OUT019,288.0
FDK50,OUT049,2816.0
FDG31,OUT045,896.0
FDC60,OUT045,1280.0
FDL36,OUT013,1520.0
FDP21,OUT013,3296.0
FDW16,OUT045,1440.0
FDX02,OUT017,4032.0
FDQ58,OUT027,4416.0
FDT51,OUT046,1840.0
FDD59,OUT049,1280.0
NCM42,OUT018,1376.0
FDA57,OUT018,224.0
FDZ48,OUT035,1952.0
FDE46,OUT045,2592.0
NCZ30,OUT019,128.0
FDB56,OUT017,3392.0
FDA25,OUT027,3648.0
FDD20,OUT013,2176.0
FDL25,OUT013,1440.0
NCO18,OUT049,3040.0
FDJ45,OUT017,576.0
FDR12,OUT035,3090.0
NCF19,OUT010,-1344.0
FDK25,OUT046,2608.0
NCR17,OUT046,1856.0
FDC52,OUT046,2688.0
NCA54,OUT017,3264.0
FDR45,OUT010,2208.0
NCM19,OUT049,1920.0
FDF39,OUT027,6400.0
FDX23,OUT049,1664.0
FDD58,OUT027,3328.0
FDX28,OUT013,1712.0
NCD31,OUT013,2784.0
FDU57,OUT018,2048.0
FDI27,OUT046,626.0
NCM42,OUT046,1712.0
FDD32,OUT027,3136.0
FDI34,OUT013,3968.0
NCM29,OUT049,2176.0
